date,partner,Total Exports,Total Imports,trade_balance
2022-07-01,France,0.0,653339.0,-653339.0
2022-07-01,Germany,886188.0,0.0,886188.0
2022-07-01,India,0.0,844865.0,-844865.0
2022-07-01,Indonesia,893010.0,1425192.0,-532182.0
2022-07-01,Italy,0.0,724277.0,-724277.0
2022-07-01,Malaysia,0.0,1220666.0,-1220666.0
2022-07-01,Philippines,1209542.0,0.0,1209542.0
2022-07-01,Russia,462934.0,0.0,462934.0
2022-07-01,Singapore,0.0,889624.0,-889624.0
2022-07-01,Thailand,749240.0,739350.0,9890.0
2022-07-01,United Arab Emirates,0.0,2395973.0,-2395973.0
2022-07-01,United States,10104092.0,6690429.0,3413663.0
2022-07-01,World,60241774.0,0.0,60241774.0
2022-08-01,Australia,1767023.0,0.0,1767023.0
2022-08-01,Canada,666113.0,0.0,666113.0
2022-08-01,China,13116160.0,13501248.0,-385088.0
2022-08-01,France,0.0,627575.0,-627575.0
2022-08-01,Germany,803647.0,0.0,803647.0
2022-08-01,India,0.0,681162.0,-681162.0
2022-08-01,Indonesia,892844.0,1436156.0,-543312.0
2022-08-01,Italy,0.0,709784.0,-709784.0
2022-08-01,Malaysia,0.0,1255579.0,-1255579.0
2022-08-01,Philippines,998707.0,0.0,998707.0
2022-08-01,Russia,438303.0,0.0,438303.0
2022-08-01,Singapore,0.0,1029960.0,-1029960.0
2022-08-01,Thailand,693406.0,708581.0,-15175.0
2022-08-01,United Arab Emirates,0.0,1511497.0,-1511497.0
2022-08-01,United States,8751247.0,7779216.0,972031.0
2022-08-01,World,56605950.0,0.0,56605950.0
2022-09-01,Australia,1567683.0,0.0,1567683.0
2022-09-01,Canada,620736.0,0.0,620736.0
2022-09-01,China,13342692.0,12677996.0,664696.0
2022-09-01,France,0.0,733175.0,-733175.0
2022-09-01,Germany,942249.0,0.0,942249.0
2022-09-01,India,0.0,577671.0,-577671.0
2022-09-01,Indonesia,876418.0,1412309.0,-535891.0
2022-09-01,Italy,0.0,779567.0,-779567.0
2022-09-01,Malaysia,0.0,1764247.0,-1764247.0
2022-09-01,Philippines,935406.0,0.0,935406.0
